Escola;Email;Telefone;Endereço;Município;Estado;CEP
"E.E.E.Esp. Brigadeiro Ney Gomes";escolaespecialneygomes@gmail.com;"(51) 3476-1046";"Avenida Guilherme Schell, 4064";Canoas;RS;92200-714
"E.E.E.F. Antonio Francisco Lisboa";lisboasecretaria@yahoo.com.br;"(51) 3466-8179";"Rua Pistoia, 1255";Canoas;RS;92200-290
"E.E.E.F. Augusto Severo";escolaaugustosevero@yahoo.com.br;"(51) 34754510";"Rua Alegrete, 278";Canoas;RS;92120-170
"E.E.E.F. Canoas";escolacanoas@gmail.com;"(51) 3476-3541";"Rua Guilherme Morsch, 141";Canoas;RS;92310-080
"E.E.E.F. Cel. Vicente Freire";evicentefreire@gmail.com;"(51) 3478-1345";"Rua Tietê, 276";Canoas;RS;92410-290
"E.E.E.F. Clotilde Batista";efprofclotildebatista-can27cre@seduc.rs.gov.br;"(51) 34763089";"Rua Cel. Camisão, 415";Canoas;RS;92310-390
"E.E.E.F. Cônego José Leão Hartmann";escolaconegoleao@gmail.com;"(51) 3468-6160";"Rua 17 de Abril, 1301";Canoas;RS;92415710
"E.E.E.F. Cristovão Colombo";efcristovaocolombo-can27cre@seduc.rs.gov.br;"(51) 3477-7300";"Rua Senador Salgado Filho, 250";Canoas;RS;92420-120
"E.E.E.F. Ezequiel Nunes Filho";efezequielnunes@gmail.com;"(51) 34583306";"Rua Ezequiel Nunes Filho, 181";Esteio;RS;93265390
"E.E.E.F. Fátima";escolafatimacanoas@gmail.com;"(51) 3472-7664";"Rua Buttenbender, 455";Canoas;RS;92200-570
"E.E.E.F. Jasmelino Jardim";jasmelinojardim@gmail.com;"(51) 3476-9011";"Travessa Indígena, 510";Canoas;RS;92025-510
"E.E.E.F. João XXIII";joaoxxiii27cre@educacao.rs.gov.br;"(51) 3475-1196";"Rua Santos Dumont, 1721";Canoas;RS;92120-110
"E.E.E.F. Padre Jaeger";padrejaeger@gmail.com;"(51) 3477-7098";"Rua Senador Alberto Pasqualini, 100";Canoas;RS;92020-580
"E.E.E.F. Planalto Canoense";dioraci@hotmail.com;"(51) 3466-3686";"Avenida Doutor Sezefredo Azambuja Vieira, 61";Canoas;RS;92035-030
"E.E.E.F. Prof. Germano Witrock";escolagermanowitrock@gmail.com;"(51) 3478-2153";"Rua Araguaia, 200";Canoas;RS;92020-570
"E.E.E.F. Protásio Diogo de Jesus";efprotasiodiogodejesus-can27cre@seduc.rs.gov.br;"(51) 3472-8363";"Rua da Figueira, 315";Canoas;RS;92110-040
"E.E.E.F. Vasco da Gama";efvascodagama@seduc.rs.gov.br;"(51) 3477-0530";"Rua Bolívia, 580";Canoas;RS;92420-170
"E.E.E.M. Affonso Charlier";affonsocharlier@hotmail.com;"(51) 3472-4629";"Rua José Maia Filho, 1400";Canoas;RS;92310-500
"E.E.E.M. André Leão Puente";escolaandrepuente@gmail.com;"(51) 3472-2705";"Rua Rua Victor Kesller, 291";Canoas;RS;92310-370
"E.E.E.M. Barão do Amazonas";eeembaraodoamazonas@gmail.com;"(51) 3475-3555";"Rua Osvaldo Cruz, 329";Canoas;RS;92110-470
"E.E.E.M. Bartolomeu de Gusmão";bartolomeudegusmao27cre@educar.rs.gov.br;"(51) 3466-1890";"Rua Primavera, 515";Canoas;RS;92200-300
"E.E.E.M. Érico Veríssimo";emericoverissimo-can27cre@seduc.rs.gov.br;"(51) 3478-2427";"Rua Boqueirão, 1320";Canoas;RS;92410-350
"E.E.E.M. Guarani";emguarani-can27cre@seduc.rs.gov.br;"(51) 3472-5167";"Rua Cairu, 2260";Canoas;RS;92200-664
"E.E.E.M. Guilherme de Almeida";emguilhermedealmeida-can27cre@seduc.rs.gov.br;"(51) 3476-3776";"Rua Clóvis Beviláqua, 963";Canoas;RS;92320-620
"E.E.E.M José Gomes de Vasconcelos Jardim";escolagomesjardim@yahoo.com.br;"(51) 3426-1053";"Avenida Santos Ferreira, 2985";Canoas;RS;92025-728
"E.E.E.M José Gomes Vasconcelos Jardim";escolagomesjardim@yahoo.com.br;"(51) 3426-1053";"Avenida Santos Ferreira, 2985";Canoas;RS;92027033
"E.E.E.M. Miguel Lampert";cemiguellampert-can27cre@seduc.rs.gov.br;"(51) 3477-3833";"Rua Couto de Magalhães, 461";Canoas;RS;92420-410
"E.E.E.M Polisinos";polisinos02cre@educacao.rs.gov.br;"(51) 3588-4544";"Rua Dom Pedro I, 462";"São Leopoldo";RS;93040-610
"E.E.E.M Prof. Margot Terezinha Noal Giacomazzi";margotgiacomazzi55@gmail.com;"(51) 34770711";"Rua Arroio do Sal, 55";Canoas;RS;92032-040
"E.E.E.M. São Francisco de Assis";escolasfranciscoassis@gmail.com;"(51) 3466-6600";"Rua Campinas, 2020";Canoas;RS;92330-390
"E.E.E.M Tereza Francescutti";ceterezafrancescutti-can27cre@seduc.rs.gov.br;"(51) 3428-6779";"Avenida Rio Grande do Sul, 3430";Canoas;RS;92330-001
"E.E.E Profissional Dom Pedrito";dompedrito13cre@educacao.rs.gov.br;"(53) 99932-4536";"BR 293 - Km 245, 245";"Dom Pedrito";RS;96450-000
"E.E.F Santa Dorotéia Planalto";planalto@santadoroteia-rs.com.br;"(51) 3013-3695";"Avenida Alexandre Luiz, 269";"Porto Alegre";RS;91225-090
"EEI Professor Luiz Gonzaga de Souza Filho";eeplgdesouzafilho@hotmail.com;"(97) 3353-1254";"Rua João Pessoa, S/N";Codajás;AM;69450-000
"E.E. Joaquim Saraiva";escola.167312@educacao.mg.gov.br;"(34) 3210 8600";"Avenida João XXIII, 68";Uberlândia;MG;38408-056
"E.M.E.F Arthur Oscar Jochims";emefaoj1@gmail.com;"(51) 3425-7748";"Rua Ernesto da Silva Rocha, 1582";Canoas;RS;92030-490
"E.M.E.F Arthur Pereira de Vargas";arthurpdevargas@hotmail.com;"(51) 3429-1725";"Rua dos Cedros, 23";Canoas;RS;92320-350
"E.M.E.F Assis Brasil";emefassis@gmail.com;"(51) 3425-7756";"Rua Roberto Francisco Behrens, 520";Canoas;RS;92320-060
"E.M.E.F Barão de Mauá";escola.barao.maua@gmail.com;"(51) 34721345";"Rua Cairu, 824";Canoas;RS;92200-352
"E.M.E.F Barão do Rio Branco";baraoriobranco.emef@edu.saoleopoldo.rs.gov.br;"(51) 3554-2976";"Rua Waldomiro Vieira, 50";"São Leopoldo";RS;93042-080
"E.M.E.F Campos Salles";escolacampossalles@gmail.com;"(51) 3479-2003";"Rua dos Pinheiros, 570";"Nova Santa Rita";RS;92480-000
"E.M.E.F Carlos Drumond de Andrade";emefcarlosdrummond@gmail.com;"(51) 3468-2232";"Rua Seis, 400";Canoas;RS;92440584
"E.M.E.F Castelo Branco";emefcastelobranco@hotmail.com;"(51) 3477-3444";"Rua Tapajós, 275";Canoas;RS;92410480
"E.M.E.F Castro Alves";motic.saoleo@edu.saoleopoldo.rs.gov.br;"(51) 3554-0991";"Rua Henrique Lopes, 196";"São Leopoldo";RS;93025-200
"E.M.E.F Ceará";escola.ceara.canoas@gmail.com;"(51) 3472-7582";"Rua São Paulo, 465";Canoas;RS;92340-180
"E.M.E.F Cel Francisco Pinto Bandeira";emefpintobandeira@gmail.com;"(51) 3466-8180";"Rua Doutor Nelson Paim Terra, 1435";Canoas;RS;92200040
"E.M.E.F Clodomir Vianna Moog";clodomir.emef@edu.saoleopoldo.rs.gov.br;"(51) 997705518";"Rua Leopoldo Kamal, 291";"São Leopoldo";RS;93125-730
"E.M.E.F David Canabarro";emef.davidcanabarro@gmail.com;"(51) 3456-1876";"Rua Florianópolis, 3892";Canoas;RS;92330500
"E.M.E.F Dr. Jorge Germano Sperb";germano.emef@edu.saoleopoldo.rs.gov.br;"(51) 22000868";"Rua Manoel Moura, 1501";"São Leopoldo";RS;93048-190
"E.M.E.F Dr. Nelson Paim Terra";nelsonpaimterra@gmail.com;"(51) 3466-7241";"Rua Primavera, 1676";Canoas;RS;92200-300
"E.M.E.F Duque de Caxias";emefduquedecaxias@gmail.com;"(51) 3466-9424";"Rua Monte Castelo, 975";Canoas;RS;92025-350
"E.M.E.F Eng. Ildo Meneghetti";emefildomeneghetti@gmail.com;"(51) 34729125";"Rua Imbe, 25";Canoas;RS;92032-170
"E.M.E.F Erna Würth";ernawurth.escola@gmail.com;"(51) 3468-5551";"Avenida Dezessete de Abril, 430";Canoas;RS;92415-000
"E.M.E.F Especial para Surdos Vitória";esc.vitoria@gmail.com;"(51) 3472-0897";"Rua Caçapava, 400";Canoas;RS;92330-290
"E.M.E.F Farroupilha";efarroupilha@yahoo.com.br;"(51) 3472-1345";"Rua Alberto Bins, 160";Canoas;RS;92110-360
"E.M.E.F General Neto";escolageneralneto@gmail.com;"(51) 34263215";"Rua José Danilo Menezes, 150";Canoas;RS;92035-800
"E.M.E.F General Osório";generalosoriocanoas@gmail.com;"(51) 3466-8177";"Rua Doutor Nelson Paim Terra, 925";Canoas;RS;92200-040
"E.M.E.F Guajuviras";escola.guajuviras@gmail.com;"(51) 34686035";"Rua 2 Area Verde I, 577, Setor 1, S/N";Canoas;RS;92415170
"E.M.E.F Ícaro";icarocanoas@gmail.com;"(51) 34726853";"Avenida Guilherme Schell, 4000";Canoas;RS;92200-714
"E.M.E.F Irmão Pedro";emirmaopedro@gmail.com;"(51) 3472-7535";"Rua Doutor Olavo Fernandez, 91";Canoas;RS;92030-790
"E.M.E.F Jacob Longoni";emef.jacoblongoni@canoasedu.rs.gov.br;"(51) 3476-1483";"Rua Porto Seguro, 197";Canoas;RS;92025-590
"E.M.E.F João Belchior Marques Goulart";escolajoaogoulartsl@gmail.com;"(51) 2200-0871";"Avenida Leopoldo Wasun, S/N";"São Leopoldo";RS;93115-380
"E.M.E.F João Palma da Silva";lebasi.psi@gmail.com;"(51) 3472-9322";"Rua Uruguaiana, 421";Canoas;RS;92330-370
"E.M.E.F João Paulo I";emefjoaopaulo@gmail.com;"(51) 3472-9720";"Rua São Pedro Pescador, 525";Canoas;RS;92325-360
"E.M.E.F Leonel de Moura Brizola";emefleonelbrizolacanoas@gmail.com;"(51) 3463-4259";"Rua Ramiro Barcelos, 1450";Canoas;RS;92425-650
"E.M.E.F Max Adolfo Oderich";maxoderich@yahoo.com.br;"(51) 3427-3362";"Rua Professora Dona Sara, 100";Canoas;RS;92325560
"E.M.E.F Miguel Couto";escolamiguelcouto@gmail.com;"(51) 3479-6249";"Av. Getúlio Vargas, 425";"Nova Santa Rita";RS;92480-000
"E.M.E.F Ministro Rubem Carlos Ludwig";escola.ministro@yahoo.com;"(51) 3463-6205";"Rua Sarandi, 160";Canoas;RS;92330-260
"E.M.E.F Monteiro Lobato";emef.monteirolobato@gmail.com;"(51) 34667155";"Rua Montenegro, 1113";Canoas;RS;92200-450
"E.M.E.F Odette Y. Oliveira Freitas";escolaodettefreitas@gmail.com;"(51) 3466-0661";"Rua Erechim, 200";Canoas;RS;92330-080
"E.M.E.F Otavio Reis";escolaotavioreis@hotmail.com;"(51) 3958-8494";"Rua Rio Branco, 87";Charqueadas;RS;96745-000
"E.M.E.F Paul Harris";paulharris.emef@edu.saoleopoldo.rs.gov.br;"(51) 22000885";"Rua Montevidéo, 57";"São Leopoldo";RS;93037-010
"E.M.E.F Paulo VI";escolapaulovicanoas@gmail.com;"(51) 34281224";"Avenida Engenheiro Irineu Carvalho Braga, 2781";Canoas;RS;92200-380
"E.M.E.F Pernambuco";e.m.e.f.pernambuco@gmail.com;"(51) 34755604";"Rua Capistrano de Abreu, 1740";Canoas;RS;92120-141
"E.M.E.F Pref. Edgar Fontoura";escolaedgarfontoura@gmail.com;"(51) 3059-2470";"Rua São Pedro, 555";Canoas;RS;92020-480
"E.M.E.F Presidente João Goulart";joaogoulart.sg@gmail.com;"(51) 996352271";"Rua Paraná, 385";"São Gabriel";RS;97313-326
"E.M.E.F Professora Judith Macedo de Araújo";emef.judithdearaujo@smed.prefpoa.com.br;"(51) 3385-1308";"Rua Saul Constantino, 100";"Porto Alegre";RS;91520-716
"E.M.E.F Professor João Carlos Von Hohendorff";hohendorff.emef@edu.saoleopoldo.rs.gov.br;"(51) 22000893";"Rua Eugênio Berger, 132";"São Leopoldo";RS;93125-480
"E.M.E.F Profº Doutor Rui Cirne Lima";rui.cirne@hotmail.com;"(51) 3468-1893";"Rua Dona Maria Isabel, 745";Canoas;RS;92320-141
"E.M.E.F Prof. Thiago Wurth";escolathiagowurth@gmail.com;"(51) 3466-6511";"Avenida Rio Grande do Sul, 4240";Canoas;RS;92330-001
"E.M.E.F Rio De Janeiro";emef.riodejaneiro@gmail.com;"(51) 3472-4322";"Rua Vereador Antônio Ferreira Alves, 900";Canoas;RS;92310-700
"E.M.E.F Rio Grande do Sul";emefrgs@gmail.com;"(51) 34661803";"Rua Wenceslau Braz, 35";Canoas;RS;92320-230
"E.M.E.F Rondônia";emefrondonia@gmail.com;"(51) 3472-4279";"Rua A J Renner, 211";Canoas;RS;92030-010
"E.M.E.F Santa Marta";santamarta.emef@edu.saoleopoldo.rs.gov.br;"(51) 3588-9536";"Rua Jacarandá, 0";"São Leopoldo";RS;93140-300
"E.M.E.F Santo Antônio";emefstoantonio@gmail.com;"(51) 3562-4938";"Rua Santo Inácio, 1";Portão;RS;93180-000
"E.M.E.F Santos Dumont";escolasantosdumont3@gmail.com;"(51) 3475-6635";"Rua Arthur Bernardes, 654";Canoas;RS;92130-290
"E.M.E.F Sete de Setembro";escola.sete@yahoo.com.br;"(51) 34784075";"Avenida do Nazario, 1205";Canoas;RS;92035-000
"E.M.E.F Tancredo de Almeida Neves";emeftancredo@gmail.com;"(51) 3051-1557";"Rua Oscar Pedro Kulzer, 830";Canoas;RS;92030-230
"E.M.E.F Theodoro Bogen";perdomini@hotmail.com;"(051) 3475-5768";"Rua Onze de Junho, 1001";Canoas;RS;92110-460
"E.M.E.F Vila São Jorge";escolavilasaojorge@hotmail.com;"(51) 3562-4619";"Rua Batinga, 138";Portão;RS;93180-000
"Escola Dora Dimer";doradimer@doradimer.com.br;"(51) 3490.2692";"Rua Dom Bosco, 153";Gravataí;RS;94060-110
"Escola Técnica Liberato Salzano";fundacao@liberato.com.br;"(51) 3584-2021";"Rua Inconfidente, 395";"Novo Hamburgo";RS;93340-140
"E.S.E.M Albino Marques Gomes";escolasesi.gravatai@sesirs.org.br;"(51) 3299-8295";"Avenida Senador Nei Brito, 655";Gravataí;RS;94130-000
"E.S.E.M Arthur Aluízio Daudt";escolasesi.sapucaia@sesirs.org.br;"(51) 3299-8240";"Avenida Lúcio Bittencourt, 1080";"Sapucaia do Sul";RS;93214170
"E.T.E Frederico Guilherme Schmidt";fredericogschmidt02cre@educacao.rs.gov.br;"(51) 3592-1795";"Rua Bento Gonçalves, 1171";"São Leopoldo";RS;93010-220
"I.E.E Dr. Carlos Chagas";ieecarloschagas@yahoo.com.br;"(51) 3464-5817";"Rua Santa Cruz, 20";Canoas;RS;92120-100
"IFBA Feira de Santana";sec.dgcom.rei@ifba.edu.br;"(75) 3221-6475";"BR-324, KM 521";"Feira de Santana";BA;44096-486
"IFC São Bento do Sul";cecom.sbs@ifc.edu.br;"(47) 3188-1700";"Rua Paulo Chapiewsky, 931";"São Bento do Sul";SC;89283-064
"IFRN Natal Central";comunicacao.reitoria@ifrn.edu.br;"(84) 4005-9832";"Avenida Senador Salgado Filho, 1559";Natal;RN;59015-000
"IFRS Bento Gonçalves";comunicacao@bento.ifrs.edu.br;"(54) 3455-3200";"Avenida Osvaldo Aranha, 540";"Bento Gonçalves";RS;95700-206
"IFRS Canoas";comunicacao@canoas.ifrs.edu.br;"(51) 3415-8200";"Rua Maria Zélia Carneiro de Figueiredo, 870-A";Canoas;RS;92412242
"IFRS Caxias do Sul";comunicacao@caxias.ifrs.edu.br;"(54) 3204-2100";"Rua Avelino Antônio de Souza, 1730";"Caxias do Sul";RS;95043-700
"IFRS Erechim";comunicacao@erechim.ifrs.edu.br;"(54) 3321-7500";"Rua Domingos Zanella, 104";Erechim;RS;99713-028
"IFRS Farroupilha";comunicacao@farroupilha.ifrs.edu.br;"(54) 3260-2423";"Av. São Vicente, 785";Farroupilha;RS;95.180-000
"IFRS Feliz";comunicacao@feliz.ifrs.edu.br;"(51) 3637-4418";"Rua Princesa Isabel, 60";Feliz;RS;95770-000
"IFRS Ibirubá";comunicacao@ibiruba.ifrs.edu.br;"(54) 3324-8100";"Rua Nelsi Ribas Fritsch, 1111";Ibirubá;RS;98200-000
"IFRS Osório";comunicacao@osorio.ifrs.edu.br;"(51) 3601-350";"Rua Santos Dumont, 2127";Osório;RS;95520-000
"IFRS Porto Alegre";comunicacao@poa.ifrs.edu.br;"(51) 3930-6002";"Rua Coronel Vicente, 281";"Porto Alegre";RS;90.030-041
"IFRS Restinga";comunicacao@restinga.ifrs.edu.br;"(51) 3247-8418";"Rua Alberto Hoffmann, 285";"Porto Alegre";RS;91791-508
"IFRS Rio Grande";comunicacao@riogrande.ifrs.edu.br;"(53) 3233-8603";"Rua Engenheiro Alfredo Huch, 475";"Rio Grande";RS;96201-460
"IFRS Rolante";comunicacao@rolante.ifrs.edu.br;"(51) 3547-9601";"RS-239 - KM 68, 3505";Rolante;RS;95690-000
"IFRS Sertão";comunicacao@sertao.ifrs.edu.br;"(54) 3345-8000";"Rodovia RS 135, Km 25";Sertão;RS;99170-000
"IFRS Viamão";comunicacao@viamao.ifrs.edu.br;"(51) 3320-7115";"Avenida Senador Salgado Filho, 7000";Viamão;RS;94440-000
"IFSP Bragança Paulista";braganca@ifsp.edu.br;"(11) 4034-7800";"Rua Major Fernando Valle, 2013";"Bragança Paulista";SP;12903-000
"IFSul Avançado Jaguarão";jaguarao@ifsul.edu.br;"(53) 99923-4801";"Corredor das Tropas, 801";Jaguarão;RS;96300-000
"IFSul Avançado Novo Hamburgo";novohamburgo@ifsul.edu.br;"(51) 9137-9601";"Rua Pinheiro Machado, 205";"Novo Hamburgo";RS;93.320-490
"IFSul Bagé";bage@ifsul.edu.br;"(53) 3247-3237";"Av. Leonel de Moura Brizola, 2501";Bagé;RS;96.418-400
"IFSul Camaquã";camaqua@ifsul.edu.br;"(51) 3671-7350";"Rua Ana Gonçalves da Silva, 901";Camaquã;RS;96.180-000
"IFSul Charqueadas";gabdir@charqueadas.ifsul.edu.br;"(51) 3658-3775";"Rua General Balbão, 81";Charqueadas;RS;96.745-000
"IFSul Gravataí";gravatai@ifsul.edu.br;"(53) 9923-4922";"Rua Men de Sá, 800";Gravataí;RS;94.135-300
"IFSul Lajeado";lajeado@ifsul.edu.br;"(51) 99244-1686";"Rua João Goulart, 2150";Lajeado;RS;95910016
"IFSul Passo Fundo";gabdir@passofundo.ifsul.edu.br;"(54) 3311-2916";"Estrada Perimetral Leste, 150";"Passo Fundo";RS;99.064-440
"IFSul Pelotas";gabdir@pelotas.ifsul.edu.br;"(53) 2123-1000";"Praça Vinte de Setembro, 455";Pelotas;RS;96.015-360
"IFSul Santana do Livramento";gabdirlivramento@ifsul.edu.br;"(53) 3309-1760";"Rua Gonçalves Chaves, 3218";Pelotas;RS;96015-560
"IFSul Sapiranga";sapiranga@ifsul.edu.br;"(51) 9387-8947";"Avenida Carlos Gilberto Weis, 155";Sapiranga;RS;93.804-870
"IFSul Sapucaia do Sul";comunicacao@sapucaia.ifsul.edu.br;"(51) 3452-9200";"Avenida Copacabana, 100";"Sapucaia do Sul";RS;93.216-120
"IFSul Venâncio Aires";davenancioaires@ifsul.edu.br;"(51) 3793-4200";"Avenida das Indústrias, 1865";"Venâncio Aires";RS;95.800-000
"IFSul Visconde da Graça";cavg@cavg.ifsul.edu.br;"(53) 3309-5550";"Avenida Engenheiro Ildefonso Simões Lopes, 2791";Pelotas;RS;96.060-290
"Instituto Gustavo Nordlund";secretaria.iegn@gmail.com;"(51) 3459-0219";"Rua Taquara, 765";Esteio;RS;93285-084
IPUC;contato@ipuc.edu.br;"(51) 2103.3000";"Avenida Guilherme Schell, 5000";Canoas;RS;92.310-022
"La Salle Canoas";secretaria.canoas@lasalle.org.br;"(51) 3476-8774";"Avenida Victor Barreto, 2288";Canoas;RS;92.010-000
"La Salle Niterói";atendimento.niteroi@lasalle.org.br;"(51) 3475-1690";"Rua Tamoio, 821";Canoas;RS;92.120-000
"SEME Portão";sec.seme@portao.rs.gov.br;"(51) 3500-4200";"Rua 9 de Outubro, 229";Portão;RS;93180-000
"SENAC Tramandaí";senactramandai@senacrs.com.br;"(51) 3661-5674";"Avenida Ruben Berta, 1700";Tramandaí;RS;95590-000
"S.M.E.D Cachoerinha";pedagogico.smed@cachoeirinha.rs.gov.br;"(51) 3441-8700";"Rua Érico Veríssimo, 570";Cachoeirinha;RS;94.950-110
"S.M.E.D Gravatai";gp.ouvidoria@gravatai.rs.gov.br;"(51) 3600-7146";"Avenida Ely Correa, 735";Gravataí;RS;94.198-991
"S.M.E.D Porto Alegre";gabinete.smed@portoalegre.rs.gov.br;"(51) 3289-1700";"Praça Montevidéo, 10";"Porto Alegre";RS;90010-170
"S.M.E.D São Leopoldo";motic.saoleo@edu.saoleopoldo.rs.gov.br;"(51) 2200-0800";"Praça Tiradentes, 119";"São Leopoldo";RS;93010-020
"S.M.E.D Sapiranga";smed@sapiranga.rs.gov.br;"(51) 3599-9500";"Rua Padré Réus, 263";Sapiranga;RS;93815-016
"SMED Sapucaia do Sul";sec.educacao@sapucaiadosul.rs.gov.br;"(51) 3474-1090";"Marechal Deodoro, 510";"Sapucaia do Sul";RS;93210640
"S.M.E.D Viamão";gabinete.sme@viamao.rs.gov.br;"(51) 3492-7699";"Rua Tapir Tabajara Canto da Rocha, 49";Viamão;RS;94410-060
"S.M.E.E Esteio";guilherme.sumariva@educaesteio.com.br;"(51) 3473-0601";"Rua Alegrete, 455";Esteio;RS;93280-060
"U.S.E.M Arthur Aluizio Daudt";encarregadolgpd@sesicni.com.br;"(51) 3299-8240";"Avenida Lúcio Bittencourt, 1080";"Sapucaia do Sul";RS;93214-170
